season,game_pk,pitcher_id,pitcher_hand,venue_id,archetype,e_bf,e_k,observed_bf,observed_k,park_k_factor_by_hand,days_rest_bucket,pitcher_pre_game_k_pct
2025,777980,592866,R,3309,Breaking-heavy,25.25127642099194,3.835559250203459,26,4,0.9691,first_or_il_return,0.20035121328224778
2025,777980,669467,R,3309,Power-FF,25.609748156738704,3.3092915807560703,27,7,0.9691,first_or_il_return,0.1501894875597298
2025,777981,668964,R,12,Power-FF,18.377719346125783,3.4052704269250262,18,3,1.0726,first_or_il_return,0.18804553111122455
2025,777981,671737,R,12,Power-FF,26.7592579676327,4.296670835570799,22,5,1.0726,first_or_il_return,0.2060838509748336
2025,777982,656731,R,3289,Power-FF,23.603312931859794,6.514805014321006,22,7,1.0963,first_or_il_return,0.2840808814260142
2025,777983,624133,L,5,Sinker-ball,22.496261227271336,4.876148044784875,24,5,1.021,first_or_il_return,0.2450079744816587
2025,777983,676440,R,5,Balanced,25.473762196498257,4.590506667917439,26,3,1.0728,first_or_il_return,0.2037243947858473
2025,777984,592332,R,680,Offspeed-heavy,23.805961870098546,6.059326736716051,23,3,1.2369,first_or_il_return,0.23317941952506596
2025,777984,622491,R,680,Power-FF,25.05527522755665,5.1613128746761765,24,3,1.2369,first_or_il_return,0.20148474327490334
2025,777985,571760,L,31,Balanced,23.66366937853213,5.13393870926921,25,2,1.0918,first_or_il_return,0.2162335961130826
2025,777986,543294,R,1,Offspeed-heavy,22.937452221412308,4.1984001148329275,24,5,1.1606,first_or_il_return,0.13818206792349164
2025,777989,607259,R,2392,Balanced,24.96433949245717,4.960000480971831,26,5,1.0364,first_or_il_return,0.20116959064327486
2025,777989,686613,R,2392,Power-FF,23.363099903542306,6.561338543894113,23,9,1.0364,first_or_il_return,0.28991596638655465
2025,777990,547179,R,7,Balanced,26.20211426181945,4.928173564515529,25,7,0.9876,first_or_il_return,0.19122496702242475
2025,777991,669060,R,4,Balanced,15.823427882793094,2.462698602185273,20,1,1.0702,first_or_il_return,0.15873206893231925
2025,777991,676974,R,4,Breaking-heavy,24.135751903309973,6.44205822711531,28,5,1.0702,first_or_il_return,0.25011788042859695
2025,777992,663855,R,3312,Sinker-ball,25.00117925777115,5.36656347200625,24,6,1.0913,first_or_il_return,0.20394586108871823
2025,777992,663978,R,3312,Power-FF,22.40745721979285,3.973588319931657,25,6,1.0913,first_or_il_return,0.1798148148148148
2025,777993,622608,R,19,Power-FF,25.6476566492157,3.459420767650682,25,2,1.1063,first_or_il_return,0.11325757575757575
2025,777993,681190,R,19,Balanced,22.246787325312756,3.0984906443512443,25,5,1.1063,first_or_il_return,0.10679024173785007
2025,777994,674370,R,2529,Power-FF,26.548458900868667,4.617003607747579,26,6,1.159,first_or_il_return,0.16858108108108108
2025,777994,701542,R,2529,Power-FF,20.790320715322196,5.605116939798671,27,7,1.159,first_or_il_return,0.2593094109681787
2025,777995,607200,R,3309,Sinker-ball,25.482839303236204,3.2845305872417994,31,8,0.9691,first_or_il_return,0.15680311935157504
2025,777995,680730,L,3309,Power-FF,26.515920305788928,3.866975771754296,21,5,0.9932,first_or_il_return,0.1469434832756632
2025,777996,571578,L,2394,Sinker-ball,24.068307902883028,3.9364174657031334,27,3,0.9897,first_or_il_return,0.1682371021466868
2025,777996,669373,L,2394,Offspeed-heavy,24.672235180145755,7.491769622726787,24,12,0.9897,first_or_il_return,0.29954764079817736
2025,777997,605400,R,5,Balanced,25.764348182951178,6.398128096894757,23,5,1.0728,first_or_il_return,0.25346329483096053
2025,777997,668909,R,5,Power-FF,23.581954343098268,5.13323054993884,21,8,1.0728,first_or_il_return,0.24660343162545806
2025,777998,663559,L,31,Power-FF,23.17917301632665,4.486095776128851,22,3,1.0918,first_or_il_return,0.1780531932816197
2025,777998,693821,R,31,Breaking-heavy,25.080181659908693,4.579724624852517,22,8,1.0447,first_or_il_return,0.17561094422343104
2025,777999,694297,R,15,Balanced,27.250825361474078,5.490401124980403,26,6,1.0194,first_or_il_return,0.21779237844940866
2025,777999,808967,R,15,Offspeed-heavy,24.461296716453724,7.40269595327959,22,4,1.0194,first_or_il_return,0.31723779854620976
2025,778000,605135,R,1,Sinker-ball,23.923822569721512,6.76073119974026,29,6,1.1606,first_or_il_return,0.24540355829588084
2025,778000,667755,R,1,Sinker-ball,25.382979342465266,4.876598067250288,26,6,1.1606,first_or_il_return,0.19171710571566133
2025,778001,592791,R,3289,Power-FF,24.310539332753915,5.18419600964334,22,4,1.0963,first_or_il_return,0.19169378583604524
2025,778001,605280,R,3289,Balanced,25.260458531789965,6.148290524096349,23,5,1.0963,first_or_il_return,0.25031271499155666
2025,778002,500779,L,12,Sinker-ball,23.079765476479185,4.460387734747439,22,3,1.1414,first_or_il_return,0.18399368115447012
2025,778002,641793,R,12,Offspeed-heavy,25.75761500851029,3.872488309657507,25,5,1.0726,first_or_il_return,0.1736424771655124
